brand,model,cc,segment,year,speedometer_type,top_speed_kmh,mileage_kmpl,fuel_tank_liters,factory_price_inr,gst_rate_pct,gst_amount_inr,ex_showroom_inr,on_road_price_inr,overall_score,price_increase_scenario_pct,buyer_behaviour,price_sensitivity,gst_impact_pct,price_difference,value_score
Yamaha,FZ-X,149,mid,2021,Digital,107,59.4,13.0,104688,28.0,29312,134000,156383,73,13.3,Will definitely switch,Very High,27.999388659636253,51695,0.02772807786012546
Royal Enfield,Continental GT 650,648,premium,2024,Analog,176,20.5,17.9,252672,31.0,78328,331000,380103,68,4.9,Might reconsider,Medium,30.999873353596758,127431,0.0036674269868956573
Tvs,Apache RTR 160,159,mid,2025,Semi-Digital,135,44.2,11.9,94531,28.0,26469,121000,140261,67,11.6,Will definitely switch,Very High,28.000338513291933,45730,0.021113495554715853
Yamaha,R15 V4,155,mid,2023,Digital,129,43.9,12.2,139844,28.0,39156,179000,203523,77,9.1,Will likely switch brand,High,27.999771173593434,63679,0.016608933634036448
Royal Enfield,Thunderbird 350X,346,premium,2025,Semi-Digital,149,31.6,14.3,142969,28.0,40031,183000,214679,70,4.2,Might reconsider,Medium,27.999776175254777,71710,0.010303755840114776
Honda,CB200X,184,mid,2024,Digital,135,39.1,12.4,121875,28.0,34125,156000,184031,73,11.1,Will definitely switch,Very High,28.000000000000004,62156,0.015509886921225229
Honda,SP 125,124,budget,2020,Digital,109,48.6,12.2,80469,28.0,22531,103000,119532,70,1.6,Likely to buy,Low,27.99960233133256,39063,0.028460997891777935
Honda,CB300R,293,premium,2021,Digital,155,32.6,19.8,215625,28.0,60375,276000,317287,79,7.2,Will likely switch brand,High,28.000000000000004,101662,0.008116941444181451
Tvs,Radeon,109,budget,2024,Analog,86,69.9,9.9,65625,28.0,18375,84000,99867,56,3.1,Might reconsider,Medium,28.000000000000004,34242,0.03919613085403587
Honda,CD 110 Dream,109,budget,2023,Analog,92,71.6,8.6,65625,28.0,18375,84000,99405,65,6.3,Will definitely switch,Very High,28.000000000000004,33780,0.04681857049444193
Ktm,RC 200,199,mid,2025,Digital,126,46.5,10.3,162500,28.0,45500,208000,240989,84,4.0,Might reconsider,Medium,28.000000000000004,78489,0.01620820867342493
Tvs,Sport,99,budget,2022,Analog,100,73.2,9.4,50000,28.0,14000,64000,75081,58,1.5,Likely to buy,Low,28.000000000000004,25081,0.05654692931633836
Yamaha,FZ-S V3,149,mid,2021,Semi-Digital,111,56.2,12.6,94531,28.0,26469,121000,140640,68,2.6,Might reconsider,Medium,28.000338513291933,46109,0.027172923777019343
Tvs,Raider 125,124,budget,2025,Digital,114,56.3,11.2,78125,28.0,21875,100000,114876,70,2.7,Might reconsider,Medium,28.000000000000004,36751,0.03430655663498033
Ktm,Duke 200,199,mid,2020,Digital,133,43.0,10.4,167188,28.0,46812,214000,246266,73,9.5,Will likely switch brand,High,27.99961719740651,79078,0.0127463799306441
Hero,Passion Pro,110,budget,2023,Semi-Digital,90,74.4,9.8,67188,28.0,18812,86000,100400,70,8.3,Will likely switch brand,High,27.999047448949216,33212,0.051872509960159366
Bajaj,Pulsar 125,124,budget,2020,Semi-Digital,118,54.6,13.4,80469,28.0,22531,103000,120176,62,5.5,Will definitely switch,Very High,27.99960233133256,39707,0.02816868592730662
Royal Enfield,Bullet 350,346,premium,2022,Analog,157,34.4,14.8,135156,28.0,37844,173000,201391,59,7.4,Will definitely switch,Very High,28.000236763443727,66235,0.010077908148824923
Honda,Hornet 2.0,184,mid,2021,Digital,137,43.6,12.1,117969,28.0,33031,151000,173609,76,6.8,Will likely switch brand,High,27.999728742296703,55640,0.019086568092668007
Yamaha,R15M,155,mid,2023,Digital,129,38.3,10.5,159375,28.0,44625,204000,237721,74,13.3,Will definitely switch,Very High,28.000000000000004,78346,0.011922379596249384
Tvs,Sport,99,budget,2025,Analog,88,63.2,9.7,54688,28.0,15312,70000,82260,61,14.3,Will definitely switch,Very High,27.99882972498537,27572,0.04686603452467785
Yamaha,R15M,155,mid,2021,Digital,135,45.4,11.5,167188,28.0,46812,214000,246758,76,7.4,Will likely switch brand,High,27.99961719740651,79570,0.013982930644599162
Yamaha,MT-03,321,premium,2020,Digital,165,30.8,15.0,373438,28.0,104562,478000,537556,78,4.7,Might reconsider,Medium,27.999828619476325,164118,0.00446911577584475
Tvs,Apache RR 310,312,premium,2024,Digital,155,31.6,15.6,230469,28.0,64531,295000,340795,74,5.7,Will likely switch brand,High,27.999861152692983,110326,0.006861603016476181
Royal Enfield,Classic 350,349,premium,2025,Semi-Digital,164,30.0,16.3,161719,28.0,45281,207000,242447,72,1.6,Likely to buy,Low,27.999802125909756,80728,0.008909163652262143
Royal Enfield,Continental GT 650,648,premium,2024,Analog,162,22.0,15.3,254962,31.0,79038,334000,387712,65,8.0,Will definitely switch,Very High,30.999913712631688,132750,0.003688304721030043
Honda,SP 125,124,budget,2021,Digital,109,48.6,10.3,81250,28.0,22750,104000,122237,72,13.2,Will definitely switch,Very High,28.000000000000004,40987,0.028626356995017876
Tvs,Jupiter 110,109,budget,2023,Semi-Digital,97,75.9,9.7,60938,28.0,17062,78000,93100,66,9.8,Will definitely switch,Very High,27.998949752207164,32162,0.053806659505907635
Hero,Super Splendor,125,budget,2025,Semi-Digital,107,61.6,12.8,71875,28.0,20125,92000,107420,69,14.7,Will definitely switch,Very High,28.000000000000004,35545,0.03956805064233849
Honda,SP 125,124,budget,2023,Digital,106,52.7,10.6,75781,28.0,21219,97000,114303,70,6.0,Will likely switch brand,High,28.00042226943429,38522,0.03227386857737767
Suzuki,Gixxer,155,mid,2023,Semi-Digital,132,37.8,13.7,103906,28.0,29094,133000,154453,67,10.6,Will definitely switch,Very High,28.000307970665794,50547,0.016397221161129922
Honda,CB350RS,348,premium,2025,Digital,165,28.2,16.8,164844,28.0,46156,211000,246264,79,13.6,Will definitely switch,Very High,27.999805877071655,81420,0.009046389240814735
Hero,Mavrick 440,440,premium,2022,Digital,204,24.4,14.4,170229,31.0,52771,223000,257850,79,7.4,Will likely switch brand,High,31.000005874439722,87621,0.0074756641458212135
Royal Enfield,Interceptor 650,648,premium,2025,Analog,204,22.4,15.8,261832,31.0,81168,343000,388279,67,1.3,Likely to buy,Low,31.000030553942988,126447,0.003865261834917675
Hero,HF Deluxe,97,budget,2021,Analog,100,76.9,9.2,55469,28.0,15531,71000,84015,60,11.9,Will definitely switch,Very High,27.999423101191656,28546,0.054918764506338154
Royal Enfield,Himalayan 450,452,premium,2025,Digital,203,23.4,17.5,207634,31.0,64366,272000,310304,79,9.8,Will likely switch brand,High,30.99973992698691,102670,0.005957383726925853
Tvs,Ronin,225,mid,2021,Digital,149,28.9,14.4,135156,28.0,37844,173000,196061,69,11.5,Will definitely switch,Very High,28.000236763443727,60905,0.01017081418538108
Suzuki,Gixxer 250,249,mid,2022,Digital,148,34.5,18.2,153125,28.0,42875,196000,225511,70,14.5,Will definitely switch,Very High,28.000000000000004,72386,0.010709011977242795
Royal Enfield,Hunter 350,349,premium,2024,Semi-Digital,163,34.8,15.6,135156,28.0,37844,173000,198455,76,14.7,Will definitely switch,Very High,28.000236763443727,63299,0.013326950694112013
Ktm,Duke 125,124,mid,2025,Digital,113,58.3,13.8,125781,28.0,35219,161000,188385,79,6.3,Will likely switch brand,High,28.00025441044355,62604,0.024448337181835072
Honda,Unicorn,160,mid,2025,Semi-Digital,139,40.3,13.3,92188,28.0,25812,118000,138967,65,10.1,Will definitely switch,Very High,27.9993057664772,46779,0.01884979887311376
Tvs,Apache RR 310,312,premium,2024,Digital,155,30.5,13.9,224219,28.0,62781,287000,322322,70,2.4,Might reconsider,Medium,27.99985728238909,98103,0.006623810971637059
Yamaha,FZ-S V3,149,mid,2023,Semi-Digital,109,53.9,12.5,99219,28.0,27781,127000,151774,68,10.2,Will definitely switch,Very High,27.999677481127605,52555,0.024149063739507426
Tvs,Apache RTR 160,159,mid,2025,Semi-Digital,123,45.6,11.4,86719,28.0,24281,111000,128806,75,6.1,Will likely switch brand,High,27.999630992054797,42087,0.0265515581572287
Ktm,Duke 125,124,mid,2020,Digital,111,49.6,10.2,132031,28.0,36969,169000,201205,80,10.0,Will likely switch brand,High,28.000242367322826,69174,0.019721179891155786
Royal Enfield,Bullet 350,346,premium,2021,Analog,157,34.5,15.3,131250,28.0,36750,168000,191504,62,9.2,Will definitely switch,Very High,28.000000000000004,60254,0.011169479488679088
Honda,CB350RS,348,premium,2020,Digital,157,35.7,17.6,179688,28.0,50312,230000,264650,82,12.2,Will definitely switch,Very High,27.999643827078046,84962,0.011061401851501984
Hero,Glamour,125,budget,2025,Semi-Digital,110,52.7,11.7,69531,28.0,19469,89000,105880,62,1.7,Likely to buy,Low,28.000460226373846,36349,0.030859463543634304
Honda,Hornet 2.0,184,mid,2024,Digital,134,42.9,10.2,114062,28.0,31938,146000,171215,77,4.1,Might reconsider,Medium,28.00056109835002,57153,0.01929328621908127
Suzuki,Access 125,124,budget,2025,Semi-Digital,118,59.6,13.6,67969,28.0,19031,87000,102824,65,2.5,Might reconsider,Medium,27.999529197133988,34855,0.0376760289426593
Hero,Mavrick 440,440,premium,2022,Digital,200,20.8,15.7,182443,31.0,56557,239000,271594,84,8.7,Will likely switch brand,High,30.99981912158866,89151,0.006433131807035502
Suzuki,Gixxer,155,mid,2024,Semi-Digital,140,38.1,12.9,102344,28.0,28656,131000,154060,68,13.3,Will definitely switch,Very High,27.99968732900805,51716,0.01681682461378684
Bajaj,Pulsar N250,249,mid,2022,Digital,163,31.2,17.7,127344,28.0,35656,163000,191926,66,5.4,Will definitely switch,Very High,27.99974871214977,64582,0.01072913518752019
Royal Enfield,Guerrilla 450,452,premium,2025,Digital,165,23.8,15.6,237405,31.0,73595,311000,359077,83,2.4,Might reconsider,Medium,30.999768328383986,121672,0.0055013270134260895
Honda,CB300R,293,premium,2023,Digital,153,33.3,19.1,212500,28.0,59500,272000,314706,77,13.2,Will definitely switch,Very High,28.000000000000004,102206,0.008147604430802083
Hero,Xtreme 160R,163,mid,2020,Digital,124,42.1,11.4,113281,28.0,31719,145000,169819,78,7.8,Will likely switch brand,High,28.000282483382033,56538,0.019337058868560054
Suzuki,V-Strom SX,249,premium,2025,Digital,164,34.7,16.9,167969,28.0,47031,215000,251434,77,9.6,Will likely switch brand,High,27.999809488655647,83465,0.01062664556106175
Tvs,Raider 125,124,budget,2023,Digital,110,53.0,10.3,68750,28.0,19250,88000,103375,65,8.9,Will definitely switch,Very High,28.000000000000004,34625,0.03332527206771463
Hero,Glamour,125,budget,2024,Semi-Digital,116,52.9,12.4,69531,28.0,19469,89000,105206,62,11.1,Will definitely switch,Very High,28.000460226373846,35675,0.03117502804022584
Hero,Xtreme 160R,163,mid,2023,Digital,133,39.7,11.1,100000,28.0,28000,128000,148404,75,9.5,Will likely switch brand,High,28.000000000000004,48404,0.020063475378022156
Yamaha,MT-03,321,premium,2021,Digital,156,32.7,15.8,337500,28.0,94500,432000,494175,80,5.3,Will likely switch brand,High,28.000000000000004,156675,0.0052936712702989835
Hero,Xpulse 200,199,mid,2023,Digital,129,44.7,13.0,104688,28.0,29312,134000,153484,73,2.7,Might reconsider,Medium,27.999388659636253,48796,0.021260196502567046
Bajaj,Platina 110 H-Gear,115,budget,2025,Semi-Digital,116,59.4,10.2,58594,28.0,16406,75000,89481,58,6.6,Will definitely switch,Very High,27.999453868996827,30887,0.038502028363563215
Hero,Passion Pro,110,budget,2020,Semi-Digital,98,71.2,9.9,61719,28.0,17281,79000,92189,67,2.6,Might reconsider,Medium,27.99948152108751,30470,0.05174586989771014
Bajaj,Platina 100,102,budget,2023,Analog,88,63.1,9.0,55469,28.0,15531,71000,85229,58,7.1,Will definitely switch,Very High,27.999423101191656,29760,0.042940783066796516
Ktm,Duke 125,124,mid,2022,Digital,108,49.4,11.4,144531,28.0,40469,185000,214377,78,8.1,Will likely switch brand,High,28.000221405788377,69846,0.0179739431002393
Honda,CB350RS,348,premium,2025,Digital,164,29.3,16.5,164844,28.0,46156,211000,240745,82,2.1,Might reconsider,Medium,27.999805877071655,75901,0.009979854202579493
Yamaha,Saluto RX,113,budget,2023,Analog,115,52.7,11.8,60156,28.0,16844,77000,93735,52,7.2,Will definitely switch,Very High,28.00053195026265,33579,0.02923561103109831
Tvs,Apache RR 310,312,premium,2022,Digital,154,30.5,13.5,228906,28.0,64094,293000,336527,69,1.8,Likely to buy,Low,28.00013979537452,107621,0.006253584407788974
Honda,Shine,124,budget,2024,Semi-Digital,106,61.0,12.6,71875,28.0,20125,92000,109107,71,13.7,Will definitely switch,Very High,28.000000000000004,37232,0.03969497832403054
Royal Enfield,Classic 350,349,premium,2021,Semi-Digital,150,29.0,13.3,154688,28.0,43312,198000,231388,67,8.1,Will likely switch brand,High,27.999586263963593,76700,0.008397151105502446
Ktm,Adventure 390,373,premium,2022,Digital,178,21.3,17.8,296183,31.0,91817,388000,447036,77,6.7,Will likely switch brand,High,31.000091159857252,150853,0.0036688320403725876
Hero,Xtreme 160R,163,mid,2025,Digital,132,42.6,13.9,110156,28.0,30844,141000,162734,72,4.5,Might reconsider,Medium,28.000290497113184,52578,0.018847935895387566
Honda,CB500X,471,premium,2024,Digital,201,21.0,18.0,431298,31.0,133702,565000,645350,86,6.5,Will likely switch brand,High,30.999911893864567,214052,0.002798481444177578
Honda,CD 110 Dream,109,budget,2024,Analog,87,72.9,8.7,59375,28.0,16625,76000,89231,67,10.4,Will definitely switch,Very High,28.000000000000004,29856,0.054737703264560525
Royal Enfield,Scram 411,411,premium,2020,Semi-Digital,168,20.4,16.6,158779,31.0,49221,208000,244206,72,2.1,Might reconsider,Medium,30.99969139495777,85427,0.006014594236013857
Suzuki,Gixxer 250,249,mid,2021,Digital,159,34.9,14.1,152344,28.0,42656,195000,226869,65,9.4,Will definitely switch,Very High,27.99978994906265,74525,0.009999162512286826
Bajaj,Platina 100,102,budget,2025,Analog,99,65.6,9.6,54688,28.0,15312,70000,83279,64,5.0,Might reconsider,Medium,27.99882972498537,28591,0.050413669712652646
Bajaj,Dominar 400,373,premium,2024,Digital,172,24.1,19.9,183969,31.0,57031,241000,278312,75,10.5,Will definitely switch,Very High,31.000331577602747,94343,0.006494509758831815
Yamaha,FZ-X,149,mid,2022,Digital,111,61.2,10.2,110156,28.0,30844,141000,166031,83,2.9,Might reconsider,Medium,28.000290497113184,55875,0.030594286609127212
Yamaha,MT-15 V2,155,mid,2022,Digital,129,45.5,11.8,140625,28.0,39375,180000,208275,74,11.7,Will definitely switch,Very High,28.000000000000004,67650,0.016166126515424317
Yamaha,MT-03,321,premium,2023,Digital,151,34.4,16.5,339062,28.0,94938,434000,500458,70,6.8,Will likely switch brand,High,28.000188756038717,161396,0.0048115925811956246
Tvs,Sport,99,budget,2022,Analog,95,77.2,9.8,52344,28.0,14656,67000,78195,56,2.9,Might reconsider,Medium,27.999388659636253,25851,0.05528742246946736
Yamaha,FZS 25,249,mid,2021,Digital,142,32.9,16.8,132812,28.0,37188,170000,195880,65,4.6,Might reconsider,Medium,28.000481884167094,63068,0.010917398407188075
Suzuki,Gixxer,155,mid,2023,Semi-Digital,133,37.4,10.3,103906,28.0,29094,133000,154890,68,12.1,Will definitely switch,Very High,28.000307970665794,50984,0.016419394408935372
Yamaha,R15M,155,mid,2022,Digital,129,44.2,11.0,158594,28.0,44406,203000,230546,73,1.0,Likely to buy,Low,27.999798226919054,71952,0.013995471619546644
Ktm,Duke 390,373,premium,2024,Digital,193,19.7,16.9,224427,31.0,69573,294000,340753,79,8.1,Will likely switch brand,High,31.000280714887246,116326,0.004567237852638128
Royal Enfield,Interceptor 650,648,premium,2022,Analog,161,20.7,14.7,262595,31.0,81405,344000,388630,68,12.0,Will definitely switch,Very High,31.00020944800929,126035,0.0036219540436919434
Honda,Unicorn,160,mid,2025,Semi-Digital,130,40.5,11.9,93750,28.0,26250,120000,139708,72,3.5,Might reconsider,Medium,28.000000000000004,45958,0.02087210467546597
Yamaha,MT-15 V2,155,mid,2020,Digital,126,37.3,11.3,135938,28.0,38062,174000,202882,67,12.1,Will definitely switch,Very High,27.999529197133988,66944,0.012317997653808617
Tvs,Ronin,225,mid,2020,Digital,160,28.4,19.1,128906,28.0,36094,165000,194507,67,5.0,Might reconsider,Medium,28.000248242905684,65601,0.009782681343087908
Royal Enfield,Bullet 350,346,premium,2023,Analog,152,33.9,17.8,132031,28.0,36969,169000,198108,64,14.6,Will definitely switch,Very High,28.000242367322826,66077,0.010951602156399539
Royal Enfield,Guerrilla 450,452,premium,2021,Digital,187,21.6,16.8,236641,31.0,73359,310000,360484,86,14.9,Will definitely switch,Very High,31.00012254850174,123843,0.005153071981003318
Royal Enfield,Classic 350,349,premium,2022,Semi-Digital,153,32.8,16.1,142969,28.0,40031,183000,210438,68,10.7,Will definitely switch,Very High,27.999776175254777,67469,0.010598846215987605
Royal Enfield,Himalayan 450,452,premium,2025,Digital,200,19.8,17.8,221374,31.0,68626,290000,332888,83,6.1,Will likely switch brand,High,31.00002710345388,111514,0.0049367955588666464
